id,source,model_full,year,price_lacs,url,first_seen,last_seen,high_price_seen
11849370,PakWheels,Suzuki Alto,2020,23.5,https://www.pakwheels.com/used-cars/suzuki-alto-2020-for-sale-in-rawalpindi-11849370,2026-08-12T12:42,2026-08-12T12:42,23.5
1117922933,OLX,Daihatsu Hijet,2012,18.3,https://www.olx.com.pk/item/-iid-1117922933,2026-08-11T21:17,2026-08-12T12:42,18.3
1117922394,OLX,Suzuki Alto,2010,20.0,https://www.olx.com.pk/item/-iid-1117922394,2026-08-11T21:17,2026-08-12T12:42,20.0
11849178,PakWheels,Suzuki Alto,2021,23.5,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-rawalpindi-11849178,2026-08-12T12:42,2026-08-12T12:42,23.5
11724112,PakWheels,Nissan Moco,2015,22.5,https://www.pakwheels.com/used-cars/nissan-moco-2015-for-sale-in-islamabad-11724112,2026-07-30T17:22,2026-08-12T12:42,23.5
11849056,PakWheels,Suzuki Wagon R,2015,24.55,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2015-for-sale-in-rawalpindi-11849056,2026-08-12T12:42,2026-08-12T12:42,24.55
11849007,PakWheels,Suzuki Wagon R,2014,25.2,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2014-for-sale-in-rawalpindi-11849007,2026-08-12T12:42,2026-08-12T12:42,25.2
11571929,PakWheels,Daihatsu Move,2014,25.9,https://www.pakwheels.com/used-cars/daihatsu-move-2014-for-sale-in-islamabad-11571929,2026-07-30T17:22,2026-08-12T12:42,26.25
11844625,PakWheels,Suzuki Alto,2022,26.8,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-islamabad-11844625,2026-08-11T14:04,2026-08-12T12:42,26.8
1116520903,OLX,Suzuki Every,2012,18.5,https://www.olx.com.pk/item/-iid-1116520903,2026-08-11T21:17,2026-08-12T12:42,18.5
11836841,PakWheels,Daihatsu Mira,2013,22.8,https://www.pakwheels.com/used-cars/daihatsu-mira-2013-for-sale-in-islamabad-11836841,2026-08-09T22:34,2026-08-12T12:42,22.8
1117918343,OLX,Daihatsu Move,2013,24.3,https://www.olx.com.pk/item/-iid-1117918343,2026-08-11T21:17,2026-08-12T12:42,24.3
1117917244,OLX,Suzuki Alto,2021,26.2,https://www.olx.com.pk/item/-iid-1117917244,2026-08-11T21:17,2026-08-12T12:42,26.2
11847335,PakWheels,Suzuki Alto,2024,28.8,https://www.pakwheels.com/used-cars/suzuki-alto-2024-for-sale-in-rawalpindi-11847335,2026-08-12T12:42,2026-08-12T12:42,28.8
11848801,PakWheels,Daihatsu Move,2015,18.7,https://www.pakwheels.com/used-cars/daihatsu-move-2015-for-sale-in-islamabad-11848801,2026-08-12T12:42,2026-08-12T12:42,18.7
11848812,PakWheels,Suzuki Alto,2024,19.5,https://www.pakwheels.com/used-cars/suzuki-alto-2024-for-sale-in-islamabad-11848812,2026-08-12T12:42,2026-08-12T12:42,19.5
11848756,PakWheels,Mazda Carol,2012,23.5,https://www.pakwheels.com/used-cars/mazda-carol-2012-for-sale-in-rawalpindi-11848756,2026-08-12T12:42,2026-08-12T12:42,23.5
1117915060,OLX,Suzuki Alto,2020,26.4,https://www.olx.com.pk/item/-iid-1117915060,2026-08-11T21:17,2026-08-12T12:42,26.4
1116177404,OLX,Suzuki Alto,2022,26.7,https://www.olx.com.pk/item/-iid-1116177404,2026-08-11T21:17,2026-08-12T12:42,26.7
1117915879,OLX,Mitsubishi EK Space,2021,30.0,https://www.olx.com.pk/item/-iid-1117915879,2026-08-11T21:17,2026-08-12T12:42,30.0
1117913068,OLX,Suzuki Alto,2012,16.85,https://www.olx.com.pk/item/-iid-1117913068,2026-08-11T18:02,2026-08-12T12:42,16.85
1117912243,OLX,Suzuki Alto,2012,16.85,https://www.olx.com.pk/item/-iid-1117912243,2026-08-11T18:02,2026-08-12T12:42,16.85
1117913565,OLX,Suzuki Every,2018,17.95,https://www.olx.com.pk/item/-iid-1117913565,2026-08-11T18:02,2026-08-12T12:42,17.95
1117914475,OLX,Suzuki Alto,2015,18.5,https://www.olx.com.pk/item/-iid-1117914475,2026-08-11T18:02,2026-08-12T12:42,18.5
11848716,PakWheels,Suzuki Alto,2014,23.7,https://www.pakwheels.com/used-cars/suzuki-alto-2014-for-sale-in-islamabad-11848716,2026-08-12T12:42,2026-08-12T12:42,23.7
1117911976,OLX,Suzuki Alto,2020,25.6,https://www.olx.com.pk/item/-iid-1117911976,2026-08-11T18:02,2026-08-12T12:42,25.6
1117911943,OLX,Suzuki Alto,2024,27.95,https://www.olx.com.pk/item/-iid-1117911943,2026-08-11T18:02,2026-08-12T12:42,28.5
1117897351,OLX,Suzuki Alto,2010,11.9,https://www.olx.com.pk/item/-iid-1117897351,2026-08-11T18:02,2026-08-12T12:42,11.9
