id,source,model_full,variant,year,price_lacs,mileage_km,transmission,city,area,badge,rating,pics,ago,region,url,img,days,body,posted_date,dupkey,dup,first_seen,is_new,prev_high,price_drop,flags,price_pkr
11842492,PakWheels,Daihatsu Mira,X Limited,2014,24.75,90000.0,Automatic,Islamabad,Islamabad,,,14.0,3m,core,https://www.pakwheels.com/used-cars/daihatsu-mira-2014-for-sale-in-islamabad-11842492,https://cache2.pakwheels.com/ad_pictures/1490/daihatsu-mira-x-limited-3-2014-149044978.jpg,0.0020833333333333333,Hatchback,2026-08-15,daihatsu mira|2014|24.75|90000,False,2026-08-11T14:04,False,24.75,,,2475000.0
1116826332,OLX,Suzuki Alto,660cc model 10,2010,12.8,,,Rawalpindi,"Chungi No. 22 Road, Rawalpindi",,,,4m,core,https://www.olx.com.pk/item/-iid-1116826332,https://images.olx.com.pk/thumbnails/631099307-600x450.jpeg,0.002777777777777778,Hatchback,2026-08-15,suzuki alto|2010|12.8|-1,False,2026-08-15T20:37,True,,,,1280000.0
11800400,PakWheels,Suzuki Alto,Works Edition,2018,25.5,97000.0,Automatic,Islamabad,Islamabad,,,15.0,5m,core,https://www.pakwheels.com/used-cars/suzuki-alto-2018-for-sale-in-islamabad-11800400,https://cache1.pakwheels.com/ad_pictures/1483/suzuki-alto-works-edition-2018-148398846.jpg,0.0034722222222222225,Hatchback,2026-08-15,suzuki alto|2018|25.5|97000,False,2026-08-05T12:30,False,25.75,0.25,,2550000.0
11864007,PakWheels,Suzuki Alto,VXR,2021,22.7,125000.0,Manual,Rawalpindi,Rawalpindi,,,17.0,6m,core,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-rawalpindi-11864007,https://cache4.pakwheels.com/ad_pictures/1493/suzuki-alto-vxr-2-2021-149372976.jpg,0.004166666666666667,Hatchback,2026-08-15,suzuki alto|2021|22.7|125000,True,2026-08-15T20:37,True,,,duplicate listing,2270000.0
11863992,PakWheels,Suzuki Alto,VX,2025,28.5,67000.0,Manual,Rawalpindi,Rawalpindi,,,12.0,10m,core,https://www.pakwheels.com/used-cars/suzuki-alto-2025-for-sale-in-rawalpindi-11863992,https://cache2.pakwheels.com/ad_pictures/1493/suzuki-alto-vx-14-2025-149372709.jpg,0.006944444444444445,Hatchback,2026-08-15,suzuki alto|2025|28.5|67000,False,2026-08-15T20:37,True,,,,2850000.0
1118071549,OLX,Suzuki Alto,VX con to VXR,2021,22.7,125000.0,,Islamabad,"Rawat, Islamabad",,,,12m,core,https://www.olx.com.pk/item/-iid-1118071549,https://images.olx.com.pk/thumbnails/638405585-600x450.jpeg,0.008333333333333333,Hatchback,2026-08-15,suzuki alto|2021|22.7|125000,True,2026-08-15T20:37,True,,,duplicate listing,2270000.0
11863975,PakWheels,Daihatsu Move,Custom RS,2019,3.35,52000.0,Automatic,Rawalpindi,Rawalpindi,,,18.0,15m,core,https://www.pakwheels.com/used-cars/daihatsu-move-2019-for-sale-in-rawalpindi-11863975,https://cache3.pakwheels.com/ad_pictures/1493/daihatsu-move-custom-rs-2019-149372093.jpg,0.010416666666666668,Tall-boy,2026-08-15,daihatsu move|2019|3.35|52000,False,2026-08-15T20:37,True,,,price too low - verify,335000.0
11863939,PakWheels,Nissan Dayz,Highway Star X,2015,27.0,150000.0,Automatic,Islamabad,Islamabad,,,4.0,18m,core,https://www.pakwheels.com/used-cars/nissan-dayz-2015-for-sale-in-islamabad-11863939,https://cache1.pakwheels.com/ad_pictures/1493/nissan-dayz-highway-star-x-2015-149372045.jpg,0.0125,Hatchback,2026-08-15,nissan dayz|2015|27.0|150000,False,2026-08-15T20:37,True,,,,2700000.0
11735110,PakWheels,Suzuki Wagon R,Stingray Limited,2012,21.3,266000.0,Manual,Islamabad,Islamabad,,,12.0,28m,core,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2012-for-sale-in-islamabad-11735110,https://cache2.pakwheels.com/ad_pictures/1473/suzuki-wagon-r-stingray-limited-2012-147398358.jpg,0.019444444444444445,Tall-boy,2026-08-15,suzuki wagon r|2012|21.3|266000,False,2026-08-15T20:37,True,,,,2130000.0
11863886,PakWheels,Suzuki Every,PA,2018,22.0,133000.0,Automatic,Islamabad,Islamabad,,,9.0,29m,core,https://www.pakwheels.com/used-cars/suzuki-every-2018-for-sale-in-islamabad-11863886,https://cache4.pakwheels.com/ad_pictures/1493/suzuki-every-pa-2018-149371195.jpg,0.02013888888888889,Van,2026-08-15,suzuki every|2018|22.0|133000,False,2026-08-15T20:37,True,,,,2200000.0
1118069331,OLX,Suzuki Alto,2011,2011,15.0,123.0,,Rawalpindi,"Kallar Syedan, Rawalpindi",,,,1h,core,https://www.olx.com.pk/item/-iid-1118069331,https://images.olx.com.pk/thumbnails/638392499-600x450.jpeg,0.041666666666666664,Hatchback,2026-08-15,suzuki alto|2011|15.0|123,False,2026-08-15T20:37,True,,,mileage implausibly low,1500000.0
11774671,PakWheels,Suzuki Alto,ECO S,2011,23.75,96000.0,Automatic,Islamabad,Islamabad,,,12.0,1h,core,https://www.pakwheels.com/used-cars/suzuki-alto-2011-for-sale-in-islamabad-11774671,https://cache1.pakwheels.com/ad_pictures/1480/suzuki-alto-eco-s-2011-148008662.jpg,0.041666666666666664,Hatchback,2026-08-15,suzuki alto|2011|23.75|96000,False,2026-07-30T17:22,False,23.75,,,2375000.0
11863648,PakWheels,Daihatsu Mira ES,,2015,24.8,140000.0,Automatic,Rawalpindi,Rawalpindi,,,20.0,1h,core,https://www.pakwheels.com/used-cars/daihatsu-mira-2015-for-sale-in-rawalpindi-11863648,https://cache2.pakwheels.com/ad_pictures/1493/daihatsu-mira-es-2015-149367753.jpg,0.041666666666666664,Hatchback,2026-08-15,daihatsu mira es|2015|24.8|140000,False,2026-08-15T20:37,True,,,,2480000.0
11863661,PakWheels,Suzuki Alto,VXL,2021,27.5,37000.0,Automatic,Islamabad,Islamabad,,,7.0,1h,core,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-islamabad-11863661,https://cache3.pakwheels.com/ad_pictures/1493/suzuki-alto-vxl-2-2021-149368176.jpg,0.041666666666666664,Hatchback,2026-08-15,suzuki alto|2021|27.5|37000,False,2026-08-15T20:37,True,,,,2750000.0
11863818,PakWheels,Suzuki Alto,VXR,2025,29.9,30000.0,Manual,Rawalpindi,Rawalpindi,,,13.0,1h,core,https://www.pakwheels.com/used-cars/suzuki-alto-2025-for-sale-in-rawalpindi-11863818,https://cache2.pakwheels.com/ad_pictures/1493/suzuki-alto-vxr-2-2025-149370106.jpg,0.041666666666666664,Hatchback,2026-08-15,suzuki alto|2025|29.9|30000,True,2026-08-15T20:37,True,,,duplicate listing,2990000.0
11841475,PakWheels,Nissan Clipper,DX,2012,15.5,139626.0,Automatic,Islamabad,Islamabad,Managed by PakWheels,4.7,16.0,2h,core,https://www.pakwheels.com/used-cars/nissan-clipper-2012-for-sale-in-islamabad-11841475,https://cache1.pakwheels.com/ad_pictures/1490/nissan-clipper-dx-8-2012-149030651.jpg,0.08333333333333333,Van,2026-08-15,nissan clipper|2012|15.5|139626,False,2026-08-11T21:17,False,15.5,,,1550000.0
11863266,PakWheels,Suzuki Alto,,2014,20.5,205000.0,Manual,Islamabad,Islamabad,,,8.0,2h,core,https://www.pakwheels.com/used-cars/suzuki-alto-2014-for-sale-in-islamabad-11863266,https://cache2.pakwheels.com/ad_pictures/1493/suzuki-alto-2014-149361772.jpg,0.08333333333333333,Hatchback,2026-08-15,suzuki alto|2014|20.5|205000,False,2026-08-15T20:37,True,,,,2050000.0
1118068151,OLX,Suzuki Alto,2012,2012,21.5,115102.0,,Rawalpindi,"Khayaban-e-Sir Syed, Rawalpindi",,,,2h,core,https://www.olx.com.pk/item/-iid-1118068151,https://images.olx.com.pk/thumbnails/638385611-600x450.jpeg,0.08333333333333333,Hatchback,2026-08-15,suzuki alto|2012|21.5|115102,False,2026-08-15T20:37,True,,,,2150000.0
11863313,PakWheels,Suzuki Alto,VX,2020,23.5,120000.0,Manual,Rawalpindi,Rawalpindi,,,9.0,2h,core,https://www.pakwheels.com/used-cars/suzuki-alto-2020-for-sale-in-rawalpindi-11863313,https://cache4.pakwheels.com/ad_pictures/1493/suzuki-alto-vx-14-2020-149362301.jpg,0.08333333333333333,Hatchback,2026-08-15,suzuki alto|2020|23.5|120000,True,2026-08-15T20:37,True,,,duplicate listing,2350000.0
1118066302,OLX,Suzuki Alto,2019,2019,24.1,110000.0,,Islamabad,"H-8, Islamabad",,,,2h,core,https://www.olx.com.pk/item/-iid-1118066302,https://images.olx.com.pk/thumbnails/638374387-600x450.jpeg,0.08333333333333333,Hatchback,2026-08-15,suzuki alto|2019|24.1|110000,False,2026-08-15T20:37,True,,,,2410000.0
11863340,PakWheels,Suzuki Alto,ECO L,2012,25.0,93000.0,Automatic,Islamabad,Islamabad,,,5.0,2h,core,https://www.pakwheels.com/used-cars/suzuki-alto-2012-for-sale-in-islamabad-11863340,https://cache2.pakwheels.com/ad_pictures/1493/suzuki-alto-eco-l-2012-149362394.jpg,0.08333333333333333,Hatchback,2026-08-15,suzuki alto|2012|25.0|93000,False,2026-08-15T20:37,True,,,,2500000.0
11863331,PakWheels,Nissan Dayz,Highway Star,2017,27.5,48666.0,Automatic,Islamabad,Islamabad,,,19.0,2h,core,https://www.pakwheels.com/used-cars/nissan-dayz-2017-for-sale-in-islamabad-11863331,https://cache2.pakwheels.com/ad_pictures/1493/nissan-dayz-highway-star-3-2017-149362719.jpg,0.08333333333333333,Hatchback,2026-08-15,nissan dayz|2017|27.5|48666,False,2026-08-15T20:37,True,,,,2750000.0
